#{"t_start": 1537442773.723104, "env_id": "Planar-direction-v1"}
r,l,t
3.772259,327,9.914659
4.52657,314,18.915174
3.73089,340,28.587967
6.266874,381,39.497599
12.313461,514,54.369259
3.764569,297,78.263792
4.333496,293,87.133536
3.462493,288,101.618372
-0.632697,212,110.791972
2.261778,280,119.213594
2.189449,273,127.721373
6.630784,378,138.901867
2.78538,298,148.79763
0.779145,232,181.643935
2.210067,268,257.291621
1.498456,247,284.883327
6.683124,341,295.041002
-0.847405,205,301.824711
3.040911,279,310.164678
10.391967,474,325.01762
2.453519,270,349.989495
2.773295,295,418.905832
6.139942,390,429.778357
6.861282,384,440.743593
6.578261,362,450.845658
4.52608,327,460.874737
0.903876,236,467.749211
7.657938,402,478.944409
-0.067457,226,496.738123
15.508821,626,579.170832
5.408044,355,666.184781
9.476353,408,786.605262
20.87835,712,921.060091
5.672389,323,954.461938
5.287701,323,963.853796
5.664981,360,974.17058
-0.500881,210,981.516908
1.180638,269,990.358151
13.17001,529,1006.333532
7.72189,404,1017.807931
7.053226,375,1028.445419
4.813237,340,1038.94268
7.397069,411,1050.488027
5.001559,312,1059.58735
10.654782,546,1074.8332
6.627338,336,1084.477653
2.925689,270,1092.26638
5.699067,327,1102.550068
8.483144,361,1112.817054
4.951275,315,1121.821622
9.144582,374,1132.499023
3.710823,286,1140.84414
6.360685,351,1150.783962
1.87476,271,1159.3908
6.922202,376,1170.132793
6.920929,363,1180.506121
4.247099,296,1188.943269
19.552102,678,1207.711026
14.486783,569,1224.444102
26.269927,811,1246.997996
10.943482,483,1260.71351
11.687298,516,1275.999885
20.118664,736,1296.416068
7.152307,373,1309.85118
12.610947,570,1325.698104
1.665152,311,1336.586364
11.014481,456,1351.174983
23.034918,771,1374.413966
11.478228,507,1388.565364
23.083467,726,1409.940565
35.604186,1024,1440.689983
34.794256,1024,1469.825558
7.177795,372,1483.157268
2.294658,261,1491.442735
40.983534,1024,1523.681791
0.698727,232,1530.298051
17.352464,591,1548.298973
20.593857,651,1570.565983
11.475554,445,1584.571394
19.271575,671,1607.166218
14.181088,544,1624.132918
13.640875,565,1640.237743
23.443015,782,1663.795083
3.584851,290,1672.09901
28.239851,971,1701.184282
9.894089,463,1715.286584
25.117379,831,1739.138904
40.344193,1024,1775.4143
39.460081,1024,1805.83301
17.826878,670,1829.61085
24.61785,820,1859.501333
0.129507,221,1869.786727
9.712077,407,1887.221023
39.712153,1024,1919.658346
13.965752,530,1935.593797
34.333137,980,1962.782193
40.103091,1024,1992.17803
16.323094,616,2009.623452
4.567902,375,2020.587135
9.936915,454,2035.10445
6.303536,387,2050.462463
29.765278,819,2076.022354
9.70241,470,2089.837701
12.608808,531,2106.647425
25.467436,791,2129.444779
39.896319,1024,2159.434746
8.81015,427,2173.419521
2.69219,266,2182.215246
43.220186,1024,2213.430578
4.253263,312,2222.758331
12.851865,523,2239.59621
11.058495,494,2254.170061
16.76354,626,2274.791726
17.73883,581,2292.947444
21.327374,701,2315.465248
37.531817,1024,2348.302014
24.53981,804,2372.452992
10.422051,475,2385.776121
37.361913,1024,2415.116611
38.729828,971,2447.898615
47.672736,1024,2475.704701
10.840634,445,2491.335238
4.639469,295,2500.80741
43.859524,1024,2532.459144
30.442057,1024,2564.077817
40.308235,1024,2595.502688
43.559358,1024,2625.590201
41.147943,1024,2656.852191
54.373594,1024,2690.888295
48.251607,1024,2725.450625
3.918464,322,2736.441232
44.528504,1024,2775.291941
13.543046,523,2796.572588
49.161904,1024,2840.616786
9.468911,537,2855.824965
34.580413,1024,2883.584277
51.624794,1024,2912.228606
55.499674,1024,2940.15019
50.816339,1024,2968.538627
6.828248,361,2978.627525
32.280516,858,3002.855188
4.618349,350,3012.733537
54.408039,1024,3040.351203
23.949268,739,3061.285228
41.948348,970,3087.400869
51.092076,1024,3115.844244
42.029266,1024,3143.876565
49.491169,1024,3172.862798
55.600188,1024,3200.629043
51.212561,1024,3229.947591
59.902383,1024,3257.937885
60.2015,1024,3286.786379
17.033012,570,3302.983522
52.120891,1024,3330.989711
60.47218,1024,3360.191226
54.12061,1024,3388.468701
55.397518,1024,3417.930618
54.194904,1024,3446.490389
54.607234,1024,3475.361264
50.116436,1023,3503.697985
53.993708,1024,3532.864155
52.649626,1024,3561.28475
47.584514,1024,3590.675033
66.113831,1024,3618.809275
40.823394,983,3646.427659
59.388704,1024,3674.366189
51.03684,1024,3703.250606
56.709481,1024,3731.335087
53.128796,1024,3760.856388
63.693168,1024,3788.71576
52.44024,1024,3817.306093
58.818813,1024,3845.895498
58.12559,1024,3874.785231
60.171838,1024,3902.808933
21.053231,705,3923.493294
57.499711,1024,3951.376222
14.835153,526,3966.332267
24.588404,692,3986.480125
55.832178,1024,4014.680018
61.614801,1024,4043.617199
61.48914,1024,4072.546873
59.497153,1024,4103.046717
62.055587,1024,4131.332323
22.893266,711,4152.436366
4.590032,342,4164.42178
66.309252,1024,4194.458219
69.684952,1024,4229.1203
62.372773,1024,4260.027597
65.004194,1024,4289.624188
61.578159,1024,4320.630463
66.715191,1024,4352.072212
56.998215,1024,4381.292441
13.062643,537,4399.117797
56.460138,1024,4440.321018
34.772405,874,4472.19859
9.892696,380,4487.51932
69.900967,1024,4517.456943
67.618651,1024,4547.456043
69.119347,1024,4576.768813
67.802043,1024,4608.923672
64.502547,1024,4637.668743
55.144963,1024,4667.734461
68.48355,1024,4697.327919
66.922419,1024,4726.488967
67.521558,1024,4755.837505
70.722804,1024,4785.780592
67.410158,1024,4814.497586
68.971398,1024,4844.481939
74.513782,1024,4873.440731
65.145177,1024,4902.901651
35.991319,833,4925.691792
71.611252,1024,4954.407057
65.787253,1024,4983.513166
72.657744,1024,5011.77036
10.036958,520,5027.682484
73.314397,1024,5056.063444
63.16389,1024,5084.259455
68.492642,1024,5115.302869
40.691894,852,5140.310347
69.183729,1024,5168.140496
67.417801,1024,5199.675524
68.148835,1024,5229.462274
71.571303,1024,5258.968628
71.957986,1024,5288.638423
61.233058,1024,5324.620594
71.271803,1024,5357.037894
70.997492,1024,5387.692486
61.426429,1024,5416.10863
68.908144,1024,5446.839961
69.139205,1024,5475.313404
69.010736,1024,5504.722506
69.823845,1024,5534.46619
11.194076,384,5545.986533
67.910163,1024,5576.115419
25.415657,627,5593.611646
72.699025,1024,5627.310356
71.846601,1024,5658.79487
55.009178,1024,5691.075885
52.730851,1024,5722.013712
74.469537,1024,5752.631808
68.874614,1024,5780.612014
65.958249,1024,5809.63224
70.717831,1024,5837.355759
71.774287,1024,5867.459506
76.015277,1024,5895.445489
77.566058,1024,5930.279935
73.283336,1024,5964.619704
75.852558,1024,5995.261489
71.048188,1024,6024.982031
74.268266,1024,6056.047634
68.565216,1024,6087.731348
76.5788,1024,6117.014126
75.187371,1024,6145.732431
71.853045,1024,6179.791159
68.475637,1024,6207.146304
75.817183,1024,6235.981771
70.734908,1024,6265.985086
77.695028,1024,6295.135926
77.728119,1024,6322.606063
67.788857,1024,6352.049133
47.373527,866,6377.733459
78.050747,1024,6407.690813
72.704555,1024,6437.130933
71.390682,1024,6466.136063
78.088552,1024,6494.552782
75.795848,1024,6522.545561
78.092931,1024,6550.454901
64.614264,1024,6580.670141
70.285759,1024,6610.348306
80.444335,1024,6641.417807
74.570069,1024,6670.650769
74.680762,1024,6701.350894
75.301402,1024,6730.221873
74.443824,1024,6759.538036
74.95386,1024,6788.120155
33.16059,773,6811.182596
83.632559,1024,6839.914276
78.907919,1024,6870.815313
78.725627,1024,6901.478087
81.49682,1024,6930.565519
76.330341,1024,6958.673985
33.281117,650,6976.835342
74.404896,1024,7005.935675
31.683108,701,7025.603923
43.412495,761,7047.63212
76.731755,1024,7075.340171
81.424689,1024,7105.140073
74.08446,1024,7133.792589
80.943258,1024,7164.51948
78.767126,1024,7192.449553
3.43571,281,7200.954704
81.531038,1024,7229.32021
84.135416,1024,7256.675389
77.566061,1024,7284.913059
76.241691,1024,7314.001987
81.635204,1024,7343.731096
80.84193,1024,7375.071657
85.258544,1024,7404.949453
83.153661,1024,7436.082712
78.862612,1024,7466.038488
81.860174,1024,7494.381502
82.974766,1024,7523.174519
79.901111,1024,7550.933883
