#{"t_start": 1534013113.148832, "env_id": "Planar-locomotion-v1"}
r,l,t
-1.430622,211,6.409455
-0.393405,238,13.088974
0.039513,235,18.83322
-0.8604,218,24.407525
-0.665417,224,29.92663
2.130308,274,36.586993
1.98506,268,43.059136
-1.398182,207,48.748822
0.645226,242,55.991698
0.636271,245,62.092241
3.888712,340,70.211193
-0.019918,245,76.454252
0.160205,234,82.230742
0.277103,237,88.028633
-0.323061,224,93.514253
2.285855,270,99.950303
0.166816,238,106.654694
0.143529,237,112.842804
3.0552,299,120.047418
-0.682385,226,125.759417
1.034585,242,131.697052
-1.782578,197,136.620232
1.013659,248,142.898846
0.269749,235,148.672504
-0.22224,232,154.354105
2.773625,277,162.089759
1.994898,257,168.76432
1.672912,270,175.386546
0.923573,251,181.498459
4.275378,343,189.763624
2.054369,303,197.054184
1.661968,288,203.977529
3.364855,331,212.682085
0.750166,267,219.149285
0.374344,257,225.426639
0.824709,244,231.732437
4.13298,310,239.164399
1.446493,280,245.906733
0.347573,252,252.005788
6.363959,361,261.767637
1.81187,284,269.210896
3.522845,291,276.756275
0.846269,248,283.108763
5.210844,340,292.222092
1.962947,284,299.522529
2.441176,288,306.992888
-0.098687,244,314.13866
5.449933,383,324.313905
1.984556,298,332.217253
4.969996,353,341.946649
3.140775,327,363.430099
2.688305,312,375.173055
2.228336,266,383.124263
4.49657,340,394.665706
6.427079,407,406.566488
4.789574,369,416.383167
3.592408,305,423.571064
4.396402,331,431.503055
2.739067,316,438.962334
6.659657,416,450.144452
4.712396,360,459.50897
8.101809,449,471.216319
3.849963,316,478.584212
2.079309,301,486.509009
4.070663,324,497.470883
4.983698,340,506.923615
5.610865,348,515.539166
5.954342,365,524.066831
2.179364,311,531.800888
6.947303,423,541.617361
6.194896,402,551.814989
5.753985,385,560.797327
8.745296,459,572.940179
-1.496723,219,578.548653
2.409142,276,585.305348
0.395417,247,592.154268
10.017763,484,606.198107
8.198333,453,620.013142
8.437234,451,631.857488
10.107889,500,646.526433
5.037926,375,658.478218
7.200176,414,672.29177
6.021747,361,682.326786
6.462558,418,693.338294
6.884039,369,702.87583
8.721258,445,715.266527
6.013613,403,726.487468
8.130381,434,738.242169
10.97073,534,756.124505
3.793858,316,765.790356
5.666556,367,777.039941
0.027511,260,785.315769
7.084329,394,795.386709
9.028528,472,808.383645
11.067294,512,821.955666
8.633519,421,834.770364
9.709757,445,849.390261
6.456704,421,861.568874
4.900841,414,872.348951
11.696794,536,885.950573
9.899466,459,899.722998
12.797246,581,914.709636
11.605997,523,928.355779
13.774895,555,944.116654
6.919775,412,959.685223
6.337013,371,970.814703
4.398137,330,981.326644
13.481555,560,997.800696
15.461552,615,1015.965771
10.964831,525,1030.787075
17.176293,674,1050.664178
7.272968,419,1061.848765
8.596619,459,1077.713379
7.449306,375,1088.937976
1.206266,308,1097.311521
11.049795,528,1110.658988
12.009527,517,1123.649477
18.140176,725,1143.119903
-1.158457,201,1148.556743
6.531276,408,1158.972102
4.461286,352,1169.921745
22.677185,841,1196.470469
20.435832,725,1215.968858
7.282553,396,1227.855522
10.099826,481,1240.186164
12.367511,532,1257.985854
1.792325,262,1265.846579
7.998749,476,1279.706776
15.327621,634,1296.30517
14.309931,580,1313.150025
11.127655,488,1328.323035
10.551181,483,1343.061375
15.123857,622,1360.191159
7.42551,415,1372.542668
26.117372,914,1395.999624
14.307492,606,1413.1
19.28208,676,1440.625049
21.240685,765,1464.514462
10.540362,502,1481.732608
13.226894,562,1501.521957
21.133659,766,1520.2925
10.696446,477,1532.129891
27.456052,910,1558.685598
15.640629,620,1574.192577
13.617947,579,1589.256096
13.263134,582,1605.585586
27.9629,949,1629.606103
18.86525,705,1645.829182
37.322897,1024,1672.388449
24.868296,924,1697.620845
10.447154,465,1709.399235
29.32671,982,1734.939651
30.330903,968,1759.052685
32.038368,1024,1785.824926
38.314377,1024,1814.453569
23.390645,743,1833.414985
21.681826,783,1853.237646
22.472094,764,1873.040223
35.048545,1024,1898.135952
36.499049,1024,1926.079914
38.982802,1024,1951.265708
33.981413,1024,1976.820007
36.546585,1024,2001.59281
35.00427,1024,2027.815016
38.248992,1024,2052.618559
21.766453,727,2070.634286
41.369612,1024,2096.776747
39.900892,1024,2122.038594
37.859652,1024,2148.386774
34.675727,1024,2173.875788
35.635295,1024,2199.669058
37.071943,1024,2225.033023
43.881901,1024,2250.907303
38.804887,1024,2276.095097
42.30064,1024,2301.551664
39.373635,1024,2326.281135
33.627961,1024,2352.134445
41.686908,1024,2376.911949
40.928195,1024,2402.968948
40.299666,1024,2428.541012
40.933276,1024,2454.757257
42.342247,1024,2479.901262
45.867121,1024,2505.677503
43.972809,1024,2531.587833
43.234277,1024,2557.477141
44.070652,1024,2582.833557
46.585161,1024,2609.028156
37.872389,1024,2634.489941
48.482542,1024,2660.180318
44.484856,1024,2684.825805
49.103088,1024,2710.469935
46.840551,1024,2735.543674
50.373108,1024,2761.064773
47.587445,1024,2785.628303
45.585728,1024,2810.975112
50.535586,1024,2836.230072
48.110037,1024,2861.376899
50.214769,1024,2886.048393
52.561914,1024,2911.4486
52.585765,1024,2936.188115
49.35927,1024,2961.620095
2.252869,463,2972.950092
57.043007,1024,2997.965799
50.251101,1024,3022.354072
46.934461,1024,3047.865114
38.912884,968,3071.336703
50.616133,1024,3096.646584
52.572832,1024,3121.27098
52.703853,1024,3146.706949
47.359496,1024,3171.393389
49.607019,1024,3196.698963
49.728972,1024,3221.364388
49.059312,1024,3246.922456
51.890132,1024,3271.405763
49.913197,1024,3296.477483
52.637546,1024,3321.566233
56.571208,1024,3347.240371
57.382877,1024,3372.051937
17.44276,551,3385.722581
39.675842,1024,3410.884363
54.296135,1024,3435.820997
53.338739,1024,3461.551174
53.755031,1024,3486.467849
51.493693,1024,3512.03992
51.961069,1024,3536.590324
7.61115,446,3548.372661
51.670222,1024,3572.81616
56.579814,1024,3598.817529
13.960569,473,3610.501784
51.432499,1024,3635.404443
51.862835,1024,3660.764405
54.690689,1024,3685.465856
54.823802,1024,3711.194058
55.47677,1024,3735.752895
53.912941,1024,3761.547118
54.551495,1024,3786.145519
19.092778,544,3800.30858
54.166187,1024,3825.102138
54.696483,1024,3850.919459
56.270506,1024,3875.985205
55.50411,1024,3901.488204
51.651913,1024,3926.786074
56.075024,1024,3952.10096
53.744805,1024,3976.821422
56.877263,1024,4002.426559
55.827289,1024,4027.15603
52.718466,1024,4052.603021
56.211895,1024,4077.685748
59.181385,1024,4102.808012
57.370625,1024,4127.672653
58.190635,1024,4153.301814
