Wall time,Step,Value
1537442845.708883,1,5.0
1537442919.910474,2,7.0
1537443096.131039,3,7.0
1537443232.610816,4,6.0
1537443547.3977,5,6.0
1537443750.7391,6,5.0
1537443811.8304498,7,5.0
1537443871.3060338,8,6.0
1537443930.660156,9,6.0
1537443989.275601,10,5.0
1537444047.2898428,11,3.0
1537444109.4505641,12,4.0
1537444171.1314292,13,4.0
1537444231.1590269,14,2.0
1537444295.432791,15,3.0
1537444362.0839272,16,5.0
1537444425.1152399,17,3.0
1537444485.8518322,18,3.0
1537444552.686295,19,3.0
1537444619.9111161,20,2.0
1537444695.170944,21,4.0
1537444752.997477,22,2.0
1537444814.987527,23,4.0
1537444879.369866,24,3.0
1537444940.804084,25,3.0
1537445004.7893171,26,4.0
1537445069.445086,27,4.0
1537445133.97293,28,2.0
1537445194.555508,29,3.0
1537445255.511932,30,2.0
1537445321.6753979,31,3.0
1537445383.5268779,32,2.0
1537445445.2247732,33,2.0
1537445515.7993689,34,3.0
1537445599.9213681,35,2.0
1537445661.153878,36,3.0
1537445717.780679,37,2.0
1537445773.7414742,38,2.0
1537445830.5816371,39,3.0
1537445886.556621,40,2.0
1537445943.597986,41,2.0
1537446000.67344,42,2.0
1537446057.530586,43,2.0
1537446115.323477,44,3.0
1537446172.8928242,45,2.0
1537446230.877512,46,2.0
1537446287.990156,47,2.0
1537446345.707645,48,2.0
1537446403.2773252,49,2.0
1537446459.880055,50,2.0
1537446516.9952939,51,2.0
1537446574.265079,52,2.0
1537446631.4575381,53,2.0
1537446688.387017,54,2.0
1537446746.139123,55,3.0
1537446803.711884,56,2.0
1537446862.9643478,57,2.0
1537446920.2485409,58,2.0
1537446984.48081,59,3.0
1537447048.462417,60,2.0
1537447109.556586,61,2.0
1537447170.5576441,62,2.0
1537447251.1877818,63,3.0
1537447313.180625,64,2.0
1537447373.633603,65,2.0
1537447433.3417048,66,2.0
1537447492.631664,67,2.0
1537447551.927444,68,2.0
1537447610.511334,69,2.0
1537447668.7776902,70,2.0
1537447725.457243,71,2.0
1537447782.765422,72,2.0
1537447842.2050009,73,3.0
1537447901.974869,74,2.0
1537447960.039397,75,2.0
1537448020.656748,76,2.0
1537448082.383203,77,2.0
1537448149.2082188,78,2.0
1537448207.9797492,79,2.0
1537448266.823427,80,2.0
1537448326.5893471,81,3.0
1537448388.4604049,82,2.0
1537448453.080704,83,2.0
1537448515.225651,84,2.0
1537448571.676415,85,2.0
1537448629.725743,86,2.0
1537448688.88392,87,2.0
1537448756.717622,88,2.0
1537448817.957352,89,2.0
1537448879.379513,90,2.0
1537448939.7889512,91,2.0
1537448998.27891,92,2.0
1537449057.6884632,93,2.0
1537449113.716876,94,2.0
1537449174.315667,95,2.0
1537449232.744428,96,2.0
1537449289.5556202,97,2.0
1537449347.2020779,98,2.0
1537449407.5470378,99,2.0
1537449466.982657,100,2.0
1537449526.411516,101,2.0
1537449584.135113,102,2.0
1537449643.850587,103,2.0
1537449703.5520918,104,2.0
1537449761.731787,105,3.0
1537449819.115077,106,2.0
1537449876.555441,107,2.0
1537449935.675884,108,2.0
1537449993.450109,109,3.0
1537450048.7977998,110,2.0
1537450107.101713,111,2.0
1537450168.571564,112,2.0
1537450229.748953,113,2.0
1537450287.628341,114,2.0
1537450343.384833,115,2.0
1537450399.165848,116,2.0
1537450453.770916,117,2.0
1537450509.120518,118,2.0
1537450564.337449,119,2.0
1537450619.479291,120,2.0
1537450675.841681,121,3.0
1537450732.9179,122,2.0
1537450789.869389,123,2.0
1537450845.950227,124,2.0
1537450902.782292,125,2.0
1537450959.629933,126,2.0
1537451016.549612,127,2.0
1537451075.1107168,128,2.0
1537451132.829729,129,2.0
1537451191.386086,130,2.0
1537451248.428417,131,2.0
1537451306.449654,132,2.0
1537451364.4680269,133,2.0
1537451422.252546,134,2.0
1537451479.509098,135,2.0
1537451536.971977,136,2.0
1537451594.31878,137,2.0
1537451652.9051032,138,2.0
1537451710.935665,139,2.0
1537451769.627327,140,2.0
1537451826.351312,141,2.0
1537451883.0922189,142,2.0
1537451939.505069,143,2.0
1537451996.783411,144,2.0
1537452053.867627,145,2.0
1537452111.263674,146,2.0
1537452168.3724742,147,2.0
1537452226.6270962,148,2.0
1537452283.625094,149,2.0
1537452341.830098,150,2.0
1537452399.756887,151,3.0
1537452456.094199,152,2.0
1537452512.5320241,153,2.0
1537452568.718555,154,2.0
1537452624.80905,155,2.0
1537452681.150517,156,2.0
1537452737.392226,157,2.0
1537452793.850732,158,2.0
1537452850.828025,159,2.0
1537452907.1846058,160,2.0
1537452963.6435971,161,2.0
1537453020.4268868,162,2.0
1537453076.683678,163,2.0
1537453133.41798,164,2.0
1537453190.5938308,165,2.0
1537453246.829221,166,2.0
1537453303.7458088,167,2.0
1537453360.4078872,168,2.0
1537453417.2294772,169,2.0
1537453473.77387,170,2.0
1537453530.328235,171,2.0
1537453586.178945,172,2.0
1537453642.481521,173,2.0
1537453699.0909178,174,2.0
1537453755.90656,175,2.0
1537453812.8525,176,2.0
1537453869.353488,177,2.0
1537453926.5478709,178,2.0
1537453983.774282,179,2.0
1537454040.115904,180,2.0
1537454096.577728,181,2.0
1537454153.442718,182,2.0
1537454209.332,183,2.0
1537454267.2741902,184,2.0
1537454324.1899369,185,2.0
1537454380.6209521,186,2.0
1537454436.832217,187,2.0
1537454493.118134,188,2.0
1537454549.6705139,189,2.0
1537454605.888408,190,2.0
1537454661.9512699,191,2.0
1537454719.034327,192,2.0
1537454776.2852979,193,3.0
1537454832.4562209,194,2.0
1537454889.007222,195,2.0
1537454945.981643,196,2.0
1537455002.601314,197,2.0
1537455059.486799,198,2.0
1537455116.341003,199,2.0
1537455172.893583,200,2.0
1537455229.88934,201,2.0
1537455286.428111,202,2.0
1537455343.123462,203,2.0
1537455399.8696692,204,2.0
1537455456.389132,205,2.0
1537455513.397892,206,2.0
1537455570.196927,207,2.0
1537455626.686839,208,2.0
1537455683.953768,209,3.0
1537455739.892864,210,2.0
1537455795.950363,211,2.0
1537455852.247067,212,2.0
1537455908.754708,213,2.0
1537455964.7690291,214,2.0
1537456020.980316,215,2.0
1537456077.5126882,216,2.0
1537456133.872065,217,2.0
1537456190.1841862,218,2.0
1537456247.300938,219,2.0
1537456303.569223,220,2.0
1537456360.2733471,221,2.0
1537456416.194226,222,2.0
1537456472.9653141,223,2.0
1537456530.18531,224,2.0
1537456585.877708,225,2.0
1537456647.238452,226,2.0
1537456701.939809,227,2.0
1537456756.479043,228,2.0
1537456810.862901,229,2.0
1537456865.244889,230,2.0
1537456920.176634,231,2.0
1537456977.251615,232,2.0
1537457036.3759081,233,2.0
1537457096.2713852,234,2.0
1537457157.3992739,235,2.0
1537457222.1327412,236,2.0
1537457288.811894,237,2.0
1537457348.8165839,238,2.0
1537457406.720221,239,2.0
1537457465.3978329,240,2.0
1537457522.901012,241,2.0
1537457581.059546,242,2.0
1537457638.624198,243,2.0
1537457696.369031,244,2.0
1537457754.372461,245,2.0
1537457810.367105,246,2.0
1537457867.3638349,247,2.0
1537457927.1770911,248,3.0
1537457983.0854578,249,2.0
1537458037.842834,250,2.0
1537458093.018807,251,2.0
1537458147.761255,252,2.0
1537458203.9197812,253,2.0
1537458259.150358,254,2.0
1537458314.012011,255,2.0
1537458369.186184,256,2.0
1537458430.8465862,257,2.0
1537458489.261583,258,2.0
1537458545.048936,259,2.0
1537458603.302494,260,2.0
1537458660.1194339,261,2.0
1537458716.8585112,262,2.0
1537458777.4290528,263,2.0
1537458842.952702,264,2.0
1537458908.896203,265,2.0
1537458974.513174,266,2.0
1537459043.9985988,267,3.0
1537459109.56034,268,2.0
1537459174.9586189,269,2.0
1537459240.464919,270,2.0
1537459306.837125,271,2.0
1537459372.511656,272,2.0
1537459437.8971572,273,2.0
1537459505.323531,274,2.0
1537459565.3703349,275,2.0
1537459630.736534,276,2.0
1537459696.130836,277,2.0
1537459761.429745,278,2.0
1537459827.3225238,279,2.0
1537459893.335553,280,2.0
1537459952.10727,281,2.0
1537460009.735483,282,2.0
1537460073.4342122,283,2.0
1537460138.8291872,284,2.0
1537460204.962424,285,2.0
1537460270.664156,286,2.0
1537460336.645151,287,2.0
1537460402.887573,288,2.0
1537460466.63554,289,2.0
1537460525.225739,290,2.0
1537460584.363007,291,2.0
1537460645.405001,292,2.0
1537460710.6599722,293,2.0
1537460776.122259,294,2.0
1537460840.68153,295,2.0
1537460905.6305568,296,2.0
1537460970.904104,297,2.0
1537461032.15261,298,2.0
1537461090.6053991,299,2.0
1537461148.789901,300,2.0
1537461207.9315488,301,2.0
1537461266.822048,302,2.0
1537461324.9893608,303,2.0
1537461386.639562,304,2.0
1537461449.909642,305,3.0
1537461510.411086,306,2.0
1537461570.005583,307,2.0
1537461628.745918,308,2.0
1537461686.354121,309,2.0
1537461744.1103601,310,2.0
1537461801.7092621,311,2.0
1537461859.616742,312,2.0
1537461918.208401,313,2.0
1537461977.7191622,314,2.0
1537462037.181385,315,2.0
1537462096.60404,316,2.0
1537462155.750473,317,2.0
1537462215.006722,318,2.0
1537462275.204681,319,2.0
1537462334.420732,320,2.0
1537462393.7523232,321,2.0
1537462452.990218,322,2.0
1537462515.6265259,323,2.0
1537462576.827083,324,2.0
1537462638.6164632,325,2.0
1537462697.4323242,326,2.0
1537462764.964907,327,2.0
1537462827.562558,328,2.0
1537462890.411238,329,2.0
1537462950.109128,330,2.0
1537463011.238397,331,2.0
1537463068.7422059,332,3.0
1537463127.425372,333,2.0
1537463185.4521952,334,2.0
1537463242.832948,335,2.0
1537463301.577497,336,2.0
1537463360.9698062,337,2.0
1537463420.164974,338,2.0
1537463479.165483,339,2.0
1537463543.487913,340,2.0
1537463606.468692,341,2.0
1537463664.291283,342,2.0
1537463722.156946,343,2.0
1537463779.9694011,344,2.0
1537463837.896272,345,2.0
1537463895.463021,346,2.0
1537463954.866998,347,2.0
1537464014.899321,348,2.0
1537464076.398985,349,2.0
1537464142.231744,350,2.0
1537464203.903284,351,2.0
1537464262.760127,352,2.0
1537464321.913214,353,2.0
1537464383.652537,354,2.0
1537464441.993545,355,2.0
1537464501.025589,356,2.0
1537464560.963435,357,2.0
1537464618.031749,358,2.0
1537464674.608292,359,2.0
1537464732.323126,360,2.0
1537464789.990651,361,2.0
1537464847.1861498,362,2.0
1537464904.055704,363,2.0
1537464962.987662,364,2.0
1537465021.7426612,365,2.0
1537465081.8701718,366,3.0
1537465141.177633,367,2.0
1537465199.581259,368,2.0
1537465258.272486,369,2.0
1537465316.679001,370,2.0
1537465375.287373,371,2.0
1537465434.017313,372,2.0
1537465492.512744,373,2.0
1537465550.8654451,374,2.0
1537465609.656364,375,2.0
1537465668.068457,376,2.0
1537465727.4624991,377,2.0
1537465786.433404,378,2.0
1537465845.373418,379,2.0
1537465903.859884,380,2.0
1537465962.7926881,381,2.0
1537466021.1328971,382,2.0
1537466079.897482,383,2.0
1537466138.834922,384,2.0
1537466197.6593778,385,2.0
1537466256.0422132,386,2.0
1537466314.018804,387,2.0
1537466372.5016608,388,2.0
1537466431.87803,389,2.0
1537466490.478304,390,2.0
1537466549.1970031,391,2.0
1537466608.380364,392,3.0
1537466666.7525709,393,2.0
1537466725.131458,394,2.0
1537466783.5423439,395,2.0
1537466842.246302,396,2.0
