Wall time,Step,Value
1534013167.5108516,1,8.0
1534013218.5311954,2,8.0
1534013270.645354,3,9.0
1534013321.4866495,4,7.0
1534013372.019423,5,7.0
1534013426.092635,6,7.0
1534013499.5205956,7,7.0
1534013554.3574016,8,6.0
1534013608.2156873,9,5.0
1534013660.07368,10,6.0
1534013712.7566998,11,6.0
1534013774.0777826,12,5.0
1534013831.4084735,13,5.0
1534013893.7052393,14,5.0
1534013950.8536327,15,5.0
1534014008.2778986,16,4.0
1534014066.7335525,17,4.0
1534014128.4451306,18,4.0
1534014189.2102084,19,4.0
1534014244.8604348,20,5.0
1534014303.1620004,21,4.0
1534014362.4576244,22,4.0
1534014420.694944,23,4.0
1534014481.06787,24,4.0
1534014542.6747725,25,3.0
1534014612.0378208,26,3.0
1534014666.721341,27,3.0
1534014722.254135,28,4.0
1534014770.9792435,29,2.0
1534014826.2697227,30,3.0
1534014878.2668018,31,2.0
1534014933.4775505,32,2.0
1534014985.051251,33,2.0
1534015038.03047,34,2.0
1534015088.8250194,35,2.0
1534015139.3851304,36,2.0
1534015191.0372431,37,3.0
1534015242.5386262,38,2.0
1534015294.2957873,39,2.0
1534015345.5280466,40,2.0
1534015396.3970404,41,2.0
1534015447.0203743,42,2.0
1534015497.2408557,43,2.0
1534015548.999012,44,2.0
1534015600.3102086,45,2.0
1534015652.100886,46,2.0
1534015703.4396875,47,2.0
1534015754.8458538,48,2.0
1534015805.208756,49,2.0
1534015855.722542,50,2.0
1534015905.8029754,51,2.0
1534015956.600048,52,2.0
1534016006.3863838,53,2.0
1534016056.524024,54,2.0
1534016106.17214,55,2.0
1534016155.9893966,56,2.0
1534016206.0527713,57,2.0
1534016256.1451597,58,2.0
1534016306.1892102,59,2.0
1534016356.3816693,60,2.0
1534016405.9557204,61,2.0
1534016456.5815148,62,2.0
1534016507.4805024,63,3.0
1534016557.8440983,64,2.0
1534016608.4519227,65,2.0
1534016658.512355,66,2.0
1534016708.8391528,67,2.0
1534016759.6691747,68,3.0
1534016809.787581,69,2.0
1534016860.0235863,70,2.0
1534016910.482312,71,2.0
1534016960.8840277,72,2.0
1534017011.5828795,73,2.0
1534017062.3557456,74,2.0
1534017112.7003613,75,2.0
1534017162.850789,76,2.0
1534017213.0027564,77,2.0
1534017263.5676088,78,2.0
1534017313.2607327,79,2.0
1534017363.9625828,80,3.0
1534017414.3249385,81,2.0
1534017465.6912398,82,2.0
1534017516.3503208,83,2.0
1534017566.736025,84,2.0
1534017617.389811,85,2.0
1534017667.9555328,86,2.0
1534017718.6924927,87,2.0
1534017768.9521291,88,2.0
1534017819.0375125,89,2.0
1534017869.7234118,90,2.0
1534017920.142066,91,2.0
1534017971.1111662,92,2.0
1534018021.544846,93,3.0
1534018071.8324769,94,2.0
1534018121.4606245,95,2.0
1534018170.8665297,96,2.0
1534018220.5917017,97,2.0
1534018270.4789448,98,2.0
1534018320.9241147,99,2.0
1534018371.817201,100,2.0
1534018422.152761,101,2.0
1534018473.1188643,102,2.0
